iter	Passed	Remaining
0	2	2384
1	4	2188
2	6	2275
3	8	2171
4	11	2219
5	13	2294
6	16	2310
7	18	2312
8	20	2273
9	23	2300
10	25	2261
11	27	2233
12	28	2196
13	30	2174
14	32	2145
15	34	2112
16	36	2088
17	37	2045
18	39	2023
19	40	1993
20	42	1958
21	43	1927
22	44	1881
23	45	1843
24	46	1809
25	47	1776
26	48	1742
27	49	1720
28	50	1696
29	51	1671
30	52	1654
31	54	1640
32	55	1628
33	56	1610
34	57	1596
35	59	1581
36	60	1561
37	61	1548
38	62	1536
39	63	1521
40	64	1510
41	65	1500
42	66	1487
43	68	1485
44	69	1478
45	70	1465
46	71	1457
47	72	1443
48	73	1433
49	75	1425
50	76	1416
51	77	1406
52	78	1399
53	79	1390
54	80	1385
55	81	1379
56	83	1375
57	84	1373
58	85	1366
59	86	1359
60	87	1350
61	88	1343
62	89	1338
63	91	1332
64	92	1324
65	92	1315
66	94	1309
67	94	1295
68	95	1287
69	96	1281
70	97	1277
71	98	1274
72	99	1269
73	101	1264
74	102	1258
75	103	1253
76	104	1247
77	105	1241
78	106	1236
79	107	1230
80	108	1225
81	108	1219
82	109	1213
83	110	1208
84	111	1198
85	112	1193
86	113	1188
87	114	1185
88	115	1185
89	117	1184
90	118	1180
91	119	1175
92	119	1169
93	120	1165
94	121	1160
95	122	1155
96	123	1151
97	124	1147
98	125	1145
99	126	1141
100	127	1138
101	128	1132
102	129	1129
103	130	1127
104	132	1125
105	133	1122
106	134	1120
107	135	1117
108	136	1114
109	137	1112
110	138	1109
111	139	1107
112	140	1104
113	141	1100
114	142	1096
115	143	1091
116	144	1088
117	145	1086
118	146	1082
119	147	1079
120	148	1076
121	149	1074
122	149	1068
123	151	1067
124	152	1064
125	152	1060
126	153	1058
127	154	1052
128	155	1049
129	156	1046
130	157	1043
131	158	1040
132	159	1036
133	159	1033
134	160	1030
135	161	1027
136	162	1024
137	163	1019
138	164	1017
139	165	1014
140	166	1011
141	166	1007
142	167	1004
143	168	1001
144	169	998
145	170	995
146	171	992
147	171	988
148	172	986
149	173	983
150	174	981
151	175	978
152	176	975
153	177	972
154	177	969
155	178	966
156	179	963
157	180	961
158	181	958
159	182	956
160	183	954
161	184	952
162	184	949
163	185	947
164	186	944
165	187	942
166	188	940
167	189	937
168	190	935
169	191	932
170	191	930
171	192	927
172	193	924
173	194	921
174	194	919
175	195	916
176	196	913
177	197	910
178	198	908
179	198	905
180	199	901
181	200	899
182	200	896
183	201	895
184	202	893
185	203	892
186	204	890
187	205	887
188	206	885
189	207	883
190	208	881
191	209	880
192	210	878
193	211	876
194	211	874
195	212	872
196	213	869
197	214	867
198	215	865
199	215	863
200	216	860
201	217	858
202	218	856
203	218	853
204	219	850
205	220	848
206	220	846
207	221	843
208	222	841
209	223	840
210	224	838
211	224	836
212	225	833
213	226	831
214	227	829
215	227	827
216	228	825
217	229	822
218	230	820
219	230	818
220	231	816
221	232	814
222	233	812
223	233	810
224	234	808
225	235	806
226	236	803
227	236	801
228	237	799
229	238	797
230	239	796
231	239	794
232	240	792
233	241	791
234	242	789
235	243	787
236	244	785
237	244	784
238	245	782
239	246	780
240	247	778
241	247	776
242	248	774
243	249	772
244	249	770
245	250	768
246	251	766
247	252	765
248	253	763
249	253	761
250	254	759
251	255	757
252	256	755
253	256	754
254	257	752
255	258	751
256	259	749
257	259	747
258	260	745
259	261	743
260	262	742
261	262	740
262	263	738
263	264	737
264	265	735
265	265	733
266	266	731
267	267	730
268	267	728
269	268	726
270	269	724
271	270	723
272	270	721
273	271	720
274	272	718
275	273	716
276	274	715
277	274	714
278	275	712
279	276	711
280	277	709
281	278	708
282	278	706
283	279	705
284	280	703
285	281	702
286	281	700
287	282	698
288	283	697
289	284	695
290	284	694
291	285	692
292	286	690
293	287	689
294	287	687
295	288	686
296	289	684
297	290	683
298	290	681
299	291	679
