iter	Passed	Remaining
0	144	144703
1	146	73310
2	152	50640
3	155	38611
4	157	31319
5	159	26393
6	161	22856
7	166	20699
8	170	18730
9	173	17172
10	175	15766
11	179	14791
12	181	13811
13	184	12966
14	186	12265
15	188	11581
16	189	10984
17	194	10616
18	197	10193
19	199	9776
20	202	9427
21	203	9065
22	205	8733
23	209	8523
24	212	8285
25	215	8056
26	217	7825
27	218	7597
28	223	7482
29	226	7309
30	227	7117
31	230	6958
32	232	6798
33	233	6642
34	239	6600
35	242	6500
36	246	6402
37	247	6277
38	253	6241
39	255	6140
40	257	6032
41	260	5948
42	262	5839
43	264	5738
44	268	5699
45	271	5625
46	273	5552
47	275	5469
48	277	5387
49	282	5376
50	286	5326
51	288	5266
52	291	5200
53	293	5138
54	299	5144
55	302	5099
56	304	5045
57	307	4986
58	308	4924
59	311	4874
60	312	4816
61	314	4761
62	316	4707
63	318	4654
64	320	4609
65	325	4609
66	328	4575
67	330	4529
68	332	4493
69	334	4447
70	339	4441
71	343	4428
72	346	4396
73	348	4358
74	350	4318
75	357	4341
76	359	4314
77	362	4286
78	364	4248
79	366	4212
80	370	4202
81	373	4179
82	374	4135
83	376	4109
84	378	4077
85	381	4054
86	384	4038
87	388	4024
88	390	4000
89	393	3977
90	395	3948
91	397	3926
92	401	3916
93	403	3888
94	406	3870
95	408	3844
96	409	3814
97	414	3819
98	418	3806
99	420	3782
100	422	3762
101	426	3755
102	429	3740
103	432	3725
104	434	3702
105	436	3682
106	438	3657
107	442	3655
108	444	3634
109	446	3615
110	449	3598
111	451	3577
112	452	3555
113	457	3555
114	460	3540
115	462	3522
116	464	3507
117	466	3486
118	467	3464
119	470	3452
120	473	3437
121	475	3421
122	477	3402
123	479	3388
124	481	3368
125	483	3351
126	486	3343
127	488	3327
128	491	3318
129	493	3304
130	495	3288
131	497	3270
132	499	3257
133	502	3245
134	504	3231
135	506	3216
136	509	3206
137	510	3190
138	512	3174
139	515	3166
140	517	3154
141	519	3141
142	522	3131
143	524	3118
144	526	3106
145	532	3111
146	533	3097
147	536	3087
148	537	3072
149	544	3085
150	547	3076
151	549	3064
152	551	3052
153	553	3040
154	559	3049
155	562	3041
156	564	3028
157	566	3019
158	568	3005
159	570	2996
160	573	2988
161	575	2978
162	577	2966
163	580	2957
164	581	2944
165	583	2931
166	588	2933
167	590	2923
168	592	2915
169	595	2908
170	597	2896
171	599	2885
172	603	2886
173	606	2879
174	609	2872
175	611	2861
176	612	2850
177	617	2852
178	620	2846
179	622	2837
180	625	2828
181	626	2817
182	629	2811
183	633	2808
184	636	2802
185	638	2793
186	640	2784
187	642	2774
188	647	2778
189	650	2773
190	652	2765
191	655	2758
192	657	2748
193	661	2748
194	664	2744
195	667	2736
196	669	2729
197	671	2718
198	672	2708
199	678	2712
200	680	2703
201	682	2697
202	685	2690
203	687	2682
204	691	2681
205	694	2674
206	696	2668
207	698	2661
208	701	2653
209	702	2644
210	707	2645
211	710	2639
212	712	2632
213	715	2626
214	717	2621
215	724	2630
216	727	2624
217	729	2618
218	732	2613
219	739	2621
220	742	2616
221	744	2608
222	746	2600
223	748	2593
224	755	2601
225	758	2596
226	760	2591
227	762	2583
228	766	2581
229	772	2584
230	774	2577
231	776	2570
232	778	2562
233	785	2571
234	788	2567
235	790	2560
236	792	2552
237	796	2549
238	799	2546
239	802	2541
240	805	2535
241	806	2527
242	808	2518
243	815	2527
244	818	2523
245	820	2515
246	822	2506
247	823	2498
248	831	2506
249	833	2500
250	835	2493
251	837	2486
252	839	2478
253	846	2486
254	849	2481
255	851	2473
256	852	2465
257	854	2457
258	860	2463
259	863	2458
260	865	2451
261	867	2442
262	869	2435
263	873	2435
264	877	2434
265	880	2428
266	882	2421
267	884	2414
268	885	2407
269	889	2405
270	891	2397
271	892	2389
272	894	2382
273	896	2375
274	898	2367
275	901	2363
276	902	2356
277	904	2349
278	906	2342
279	908	2335
280	910	2328
281	911	2321
282	913	2314
283	916	2311
284	918	2304
285	920	2297
286	921	2290
287	923	2283
288	925	2276
289	926	2268
290	928	2261
291	931	2258
292	933	2251
293	934	2245
294	936	2238
295	938	2231
296	940	2225
297	941	2219
298	943	2212
299	947	2210
300	949	2204
301	950	2197
302	952	2190
303	953	2183
304	955	2177
305	957	2172
306	962	2173
307	965	2169
308	967	2164
309	970	2159
310	971	2153
311	973	2147
312	979	2150
313	981	2145
314	984	2139
315	986	2134
316	987	2128
317	991	2125
318	992	2119
319	994	2112
320	996	2106
321	997	2101
322	999	2094
323	1001	2088
324	1002	2082
325	1005	2079
326	1008	2074
327	1009	2068
328	1011	2062
329	1013	2056
330	1014	2050
331	1016	2045
332	1018	2039
333	1022	2038
334	1024	2033
335	1026	2027
336	1028	2023
337	1030	2018
338	1032	2012
339	1034	2007
340	1037	2004
341	1041	2003
342	1044	2000
343	1046	1996
344	1049	1992
345	1052	1989
346	1054	1984
347	1056	1979
348	1058	1974
349	1061	1971
350	1063	1966
351	1066	1963
352	1068	1959
353	1071	1955
354	1073	1951
355	1075	1946
356	1079	1943
357	1082	1941
358	1084	1937
359	1088	1934
360	1091	1931
361	1093	1926
362	1097	1925
363	1099	1921
364	1102	1917
365	1104	1912
366	1107	1909
367	1109	1905
368	1112	1902
369	1114	1898
370	1118	1896
371	1120	1891
372	1126	1893
373	1128	1888
374	1130	1883
375	1134	1881
376	1136	1877
377	1139	1874
378	1142	1872
379	1144	1867
380	1146	1862
381	1148	1858
382	1150	1853
383	1153	1849
384	1157	1849
385	1160	1845
386	1162	1840
387	1164	1836
388	1166	1832
389	1168	1828
390	1172	1825
391	1174	1821
392	1176	1817
393	1178	1813
394	1181	1808
395	1182	1803
396	1184	1799
397	1188	1798
398	1191	1793
399	1193	1789
400	1195	1785
401	1197	1781
402	1202	1781
403	1204	1777
404	1206	1772
405	1209	1769
406	1210	1764
407	1212	1759
408	1214	1755
409	1217	1752
410	1219	1747
411	1221	1743
412	1223	1738
413	1225	1734
414	1227	1730
415	1230	1727
416	1232	1723
417	1234	1719
418	1236	1715
419	1238	1710
420	1240	1706
421	1242	1702
422	1246	1700
423	1248	1696
424	1250	1692
425	1252	1687
426	1254	1682
427	1255	1678
428	1257	1673
429	1260	1670
430	1262	1667
431	1264	1662
432	1266	1658
433	1268	1654
434	1270	1650
435	1272	1646
436	1276	1644
437	1278	1640
438	1280	1636
439	1283	1633
440	1285	1629
441	1287	1625
442	1294	1627
443	1295	1622
444	1298	1618
445	1300	1615
446	1302	1611
447	1306	1609
448	1308	1605
449	1310	1601
450	1313	1598
451	1315	1594
452	1317	1590
453	1321	1589
454	1323	1585
455	1325	1581
456	1327	1577
457	1329	1573
458	1331	1568
459	1333	1565
460	1338	1565
461	1340	1561
462	1342	1556
463	1343	1552
464	1346	1548
465	1348	1544
466	1350	1541
467	1353	1538
468	1355	1534
469	1357	1530
470	1359	1526
471	1360	1522
472	1362	1518
473	1365	1514
474	1368	1512
475	1371	1509
476	1373	1506
477	1375	1502
478	1377	1498
479	1379	1494
480	1384	1493
481	1386	1489
482	1388	1486
483	1391	1483
484	1393	1479
485	1398	1479
486	1400	1475
487	1403	1472
488	1405	1468
489	1406	1463
490	1408	1459
491	1413	1459
492	1415	1456
493	1418	1452
494	1420	1448
495	1421	1444
496	1423	1440
497	1425	1437
498	1429	1435
499	1431	1431
500	1433	1427
501	1435	1423
502	1437	1420
503	1439	1416
504	1442	1414
505	1444	1410
506	1446	1406
507	1448	1402
508	1449	1398
509	1451	1394
510	1453	1391
511	1456	1388
512	1459	1385
513	1461	1381
514	1462	1377
515	1464	1373
516	1466	1369
517	1468	1366
518	1471	1363
519	1473	1359
520	1475	1356
521	1476	1352
522	1478	1348
523	1480	1344
524	1482	1341
525	1484	1337
526	1487	1335
527	1489	1331
528	1491	1327
529	1493	1324
530	1495	1320
531	1496	1316
532	1498	1313
533	1502	1311
534	1504	1307
535	1505	1303
536	1507	1299
537	1510	1297
538	1512	1293
539	1514	1289
540	1516	1286
541	1518	1283
542	1519	1279
543	1521	1275
544	1523	1272
545	1525	1268
546	1527	1264
547	1528	1260
548	1531	1257
549	1533	1254
550	1534	1250
551	1536	1247
552	1538	1243
553	1539	1239
554	1541	1236
555	1543	1232
556	1544	1228
557	1547	1225
558	1549	1222
559	1550	1218
560	1552	1214
561	1554	1211
562	1555	1207
563	1557	1203
564	1559	1200
565	1561	1197
566	1563	1194
567	1565	1190
568	1567	1187
569	1568	1183
570	1570	1179
571	1572	1176
572	1573	1172
573	1575	1169
574	1577	1166
575	1579	1162
576	1581	1159
577	1582	1155
578	1584	1152
579	1586	1148
580	1587	1145
581	1590	1142
582	1592	1139
583	1594	1135
584	1595	1132
585	1597	1128
586	1599	1125
587	1600	1121
588	1602	1118
589	1606	1116
590	1608	1113
591	1610	1110
592	1612	1106
593	1614	1103
594	1616	1100
595	1618	1097
596	1621	1094
597	1623	1091
598	1624	1087
599	1626	1084
600	1627	1080
601	1629	1077
602	1631	1073
603	1632	1070
604	1635	1067
605	1637	1064
606	1639	1061
607	1641	1058
608	1642	1054
609	1644	1051
610	1646	1048
611	1648	1044
612	1650	1042
613	1653	1039
614	1654	1036
615	1656	1032
616	1658	1029
617	1660	1026
618	1662	1023
619	1663	1019
620	1666	1017
621	1668	1014
622	1670	1010
623	1672	1007
624	1674	1004
625	1676	1001
626	1681	1000
627	1684	997
628	1685	994
629	1689	992
630	1691	989
631	1693	986
632	1696	983
633	1698	980
634	1700	977
635	1701	973
636	1703	970
637	1704	967
638	1706	963
639	1707	960
640	1711	958
641	1713	955
642	1716	953
643	1718	950
644	1721	947
645	1726	945
646	1728	942
647	1730	939
648	1731	936
649	1733	933
650	1735	930
651	1737	927
652	1743	926
653	1746	923
654	1747	920
655	1749	917
656	1752	914
657	1755	912
658	1757	909
659	1759	906
660	1761	903
661	1762	900
662	1764	896
663	1766	893
664	1770	892
665	1772	888
666	1774	885
667	1775	882
668	1777	879
669	1779	876
670	1781	873
671	1786	871
672	1787	868
673	1789	865
674	1792	862
675	1793	859
676	1795	856
677	1798	854
678	1801	851
679	1802	848
680	1805	845
681	1806	842
682	1808	839
683	1811	836
684	1814	834
685	1816	831
686	1818	828
687	1820	825
688	1822	822
689	1824	819
690	1826	816
691	1829	814
692	1831	811
693	1833	808
694	1835	805
695	1836	802
696	1838	799
697	1840	796
698	1843	793
699	1846	791
700	1848	788
701	1849	785
702	1851	782
703	1853	779
704	1855	776
705	1857	773
706	1861	771
707	1863	768
708	1865	765
709	1866	762
710	1868	759
711	1870	756
712	1871	753
713	1875	751
714	1876	748
715	1878	745
716	1880	742
717	1882	739
718	1883	736
719	1885	733
720	1889	731
721	1892	728
722	1894	725
723	1896	722
724	1898	720
725	1900	717
726	1905	715
727	1907	712
728	1909	709
729	1911	706
730	1913	704
731	1915	701
732	1917	698
733	1921	696
734	1923	693
735	1925	690
736	1927	687
737	1929	685
738	1931	682
739	1934	679
740	1936	676
741	1938	674
742	1940	671
743	1942	668
744	1944	665
745	1946	662
746	1951	660
747	1952	657
748	1954	655
749	1956	652
750	1957	649
751	1959	646
752	1961	643
753	1963	640
754	1966	637
755	1967	635
756	1969	632
757	1971	629
758	1973	626
759	1975	623
760	1977	620
761	1979	618
762	1981	615
763	1983	612
764	1984	609
765	1986	606
766	1988	604
767	1990	601
768	1991	598
769	1994	595
770	1996	592
771	1997	590
772	1999	587
773	2001	584
774	2002	581
775	2004	578
776	2006	575
777	2009	573
778	2011	570
779	2013	567
780	2014	565
781	2016	562
782	2018	559
783	2020	556
784	2021	553
785	2024	551
786	2026	548
787	2027	545
788	2029	542
789	2031	539
790	2032	537
791	2034	534
792	2036	531
793	2040	529
794	2041	526
795	2043	523
796	2045	520
797	2046	518
798	2048	515
799	2050	512
800	2051	509
801	2054	507
802	2056	504
803	2057	501
804	2059	498
805	2060	496
806	2062	493
807	2064	490
808	2065	487
809	2068	485
810	2070	482
811	2072	479
812	2074	477
813	2076	474
814	2077	471
815	2079	468
816	2081	466
817	2084	463
818	2086	461
819	2087	458
820	2089	455
821	2091	452
822	2092	450
823	2094	447
824	2096	444
825	2098	442
826	2101	439
827	2103	436
828	2105	434
829	2106	431
830	2108	428
831	2110	426
832	2112	423
833	2114	420
834	2116	418
835	2118	415
836	2120	412
837	2121	410
838	2123	407
839	2125	404
840	2127	402
841	2130	399
842	2132	397
843	2133	394
844	2135	391
845	2137	389
846	2139	386
847	2140	383
848	2143	381
849	2145	378
850	2147	376
851	2149	373
852	2151	370
853	2152	368
854	2154	365
855	2156	362
856	2160	360
857	2162	357
858	2163	355
859	2166	352
860	2167	349
861	2169	347
862	2171	344
863	2174	342
864	2176	339
865	2177	336
